city,city_ibge_code,date,is_last,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,place_type,latitude,longitude
Boa Vista do Tupim,2903805.0,2020-07-14,True,9,48.44961,2020-07-14,0.0,0,0,0,city,-12.6498,-40.6064
Bom Jesus da Lapa,2903904.0,2020-07-14,True,78,112.80153,2020-07-14,0.0,0,1,0,city,-13.2506,-43.4108
Bom Jesus da Serra,2903953.0,2020-07-14,True,38,384.61538,2020-07-14,0.0,0,0,0,city,-14.3663,-40.5126
Boninal,2904001.0,2020-07-14,True,6,41.75947,2020-07-14,0.0,0,1,0,city,-12.7069,-41.8286
Bonito,2904050.0,2020-07-14,True,0,,2020-07-14,0.0,0,0,0,city,-11.9668,-41.2647
Boquira,2904100.0,2020-07-14,True,15,69.74149,2020-07-14,0.0,0,0,0,city,-12.8205,-42.7324
Botuporã,2904209.0,2020-07-14,True,2,19.58672,2020-07-14,0.0,0,0,0,city,-13.3772,-42.5163
Brejões,2904308.0,2020-07-14,True,11,76.94998,2020-07-14,0.0,0,0,0,city,-13.1039,-39.7988
Brotas de Macaúbas,2904506.0,2020-07-14,True,0,,2020-07-14,0.0,0,0,0,city,-11.9915,-42.6326
Brumado,2904605.0,2020-07-14,True,273,406.28023,2020-07-14,0.011,3,6,0,city,-14.2021,-41.6696
Buerarema,2904704.0,2020-07-14,True,159,866.53224,2020-07-14,0.0566,9,7,0,city,-14.9595,-39.3028
Buritirama,2904753.0,2020-07-14,True,47,221.97034,2020-07-14,0.0,0,1,0,city,-10.7171,-43.6302
Caatiba,2904803.0,2020-07-14,True,74,1094.99852,2020-07-14,0.0,0,1,0,city,-14.9699,-40.4092
Cabaceiras do Paraguaçu,2904852.0,2020-07-14,True,24,127.61206,2020-07-14,0.0417,1,0,0,city,-12.5317,-39.1902
Cachoeira,2904902.0,2020-07-14,True,149,445.17478,2020-07-14,0.0134,2,1,1,city,-12.5994,-38.9587
Caculé,2905008.0,2020-07-14,True,5,21.57963,2020-07-14,0.2,1,0,0,city,-14.5003,-42.2229
Caém,2905107.0,2020-07-14,True,33,358.18951,2020-07-14,0.0,0,0,0,city,-11.0677,-40.431999999999995
Caetanos,2905156.0,2020-07-14,True,7,48.13643,2020-07-14,0.0,0,0,0,city,-14.3347,-40.9175
Caetité,2905206.0,2020-07-14,True,49,96.12555,2020-07-14,0.0204,1,0,0,city,-14.0684,-42.4861
Cafarnaum,2905305.0,2020-07-14,True,5,27.11938,2020-07-14,0.0,0,0,0,city,-11.6914,-41.4688
Cairu,2905404.0,2020-07-14,True,72,396.12676,2020-07-14,0.0417,3,3,0,city,-13.4904,-39.0465
Caldeirão Grande,2905503.0,2020-07-14,True,56,420.19959,2020-07-14,0.0179,1,0,0,city,-11.0208,-40.2956
Camacan,2905602.0,2020-07-14,True,462,1444.29161,2020-07-14,0.0238,11,14,0,city,-15.4142,-39.4919
Camaçari,2905701.0,2020-07-14,True,2511,839.42875,2020-07-14,0.0167,42,42,4,city,-12.6996,-38.3263
Camamu,2905800.0,2020-07-14,True,383,1084.49428,2020-07-14,0.0131,5,0,0,city,-13.9398,-39.1071
Campo Alegre de Lourdes,2905909.0,2020-07-14,True,47,163.20578,2020-07-14,0.0426,2,2,0,city,-9.522210000000001,-43.0126
Campo Formoso,2906006.0,2020-07-14,True,277,389.01216,2020-07-14,0.0072,2,8,0,city,-10.5105,-40.32
Canarana,2906204.0,2020-07-14,True,45,171.9132,2020-07-14,0.0,0,1,0,city,-11.6858,-41.7677
Canavieiras,2906303.0,2020-07-14,True,63,202.57886,2020-07-14,0.0476,3,4,0,city,-15.6722,-38.9536
Candeal,2906402.0,2020-07-14,True,23,278.5178,2020-07-14,0.0,0,0,0,city,-11.8049,-39.1203
Candeias,2906501.0,2020-07-14,True,1049,1204.69475,2020-07-14,0.0257,27,6,0,city,-12.6716,-38.5472
Candiba,2906600.0,2020-07-14,True,15,104.75592,2020-07-14,0.0,0,0,0,city,-14.4097,-42.8667
Cândido Sales,2906709.0,2020-07-14,True,149,591.52805,2020-07-14,0.0268,4,4,0,city,-15.4993,-41.2414
Cansanção,2906808.0,2020-07-14,True,82,235.40219,2020-07-14,0.0244,2,0,0,city,-10.6647,-39.4944
Canudos,2906824.0,2020-07-14,True,21,125.98992,2020-07-14,0.0952,2,0,0,city,-9.900139999999999,-39.1471
Capela do Alto Alegre,2906857.0,2020-07-14,True,56,481.22368,2020-07-14,0.0,0,4,0,city,-11.6658,-39.8349
Capim Grosso,2906873.0,2020-07-14,True,234,763.15961,2020-07-14,0.0171,4,8,0,city,-11.3797,-40.0089
Caraíbas,2906899.0,2020-07-14,True,7,78.20355,2020-07-14,0.0,0,0,0,city,-14.7177,-41.2603
Caravelas,2906907.0,2020-07-14,True,103,467.84157,2020-07-14,0.0,0,1,0,city,-17.7268,-39.2597
Cardeal da Silva,2907004.0,2020-07-14,True,8,86.06778,2020-07-14,0.125,1,0,0,city,-11.9472,-37.9469
Carinhanha,2907103.0,2020-07-14,True,5,17.23068,2020-07-14,0.0,0,1,0,city,-14.2985,-43.7724
Casa Nova,2907202.0,2020-07-14,True,163,226.4864,2020-07-14,0.0307,5,3,0,city,-9.16408,-40.974
Castro Alves,2907301.0,2020-07-14,True,105,399.78678,2020-07-14,0.0286,3,1,0,city,-12.7579,-39.4248
Catolândia,2907400.0,2020-07-14,True,1,27.95639,2020-07-14,0.0,0,0,0,city,-12.31,-44.8648
Catu,2907509.0,2020-07-14,True,480,877.44955,2020-07-14,0.0104,5,6,1,city,-12.3513,-38.3791
Caturama,2907558.0,2020-07-14,True,1,10.71926,2020-07-14,0.0,0,0,0,city,-13.3239,-42.2904
Central,2907608.0,2020-07-14,True,3,17.37519,2020-07-14,0.0,0,-1,0,city,-11.1376,-42.1116
Chorrochó,2907707.0,2020-07-14,True,5,44.73472,2020-07-14,0.0,0,0,0,city,-8.9695,-39.0979
Cícero Dantas,2907806.0,2020-07-14,True,56,172.2282,2020-07-14,0.0179,1,0,0,city,-10.5897,-38.3794
Cipó,2907905.0,2020-07-14,True,75,433.52601,2020-07-14,0.0,0,0,0,city,-11.1032,-38.5179
Coaraci,2908002.0,2020-07-14,True,101,594.36238,2020-07-14,0.0396,4,0,0,city,-14.637,-39.5556
Cocos,2908101.0,2020-07-14,True,14,74.5593,2020-07-14,0.0,0,4,0,city,-14.1814,-44.5352
Conceição da Feira,2908200.0,2020-07-14,True,291,1288.69403,2020-07-14,0.0069,2,14,0,city,-12.5078,-38.9978
Conceição do Almeida,2908309.0,2020-07-14,True,86,498.63744,2020-07-14,0.0,0,4,0,city,-12.7836,-39.1715
Conceição do Coité,2908408.0,2020-07-14,True,461,692.0675,2020-07-14,0.0,0,4,0,city,-11.56,-39.2808
Conceição do Jacuípe,2908507.0,2020-07-14,True,219,660.5737,2020-07-14,0.0,0,1,0,city,-12.3268,-38.7684
Conde,2908606.0,2020-07-14,True,74,286.41096,2020-07-14,0.0541,4,1,0,city,-11.8179,-37.6131
Condeúba,2908705.0,2020-07-14,True,28,162.34707,2020-07-14,0.0,0,0,0,city,-14.9022,-41.9718
Contendas do Sincorá,2908804.0,2020-07-14,True,1,24.5942,2020-07-14,0.0,0,0,0,city,-13.7537,-41.048
Coração de Maria,2908903.0,2020-07-14,True,82,362.7516,2020-07-14,0.0122,1,2,0,city,-12.2333,-38.7487
Cordeiros,2909000.0,2020-07-14,True,10,116.09009,2020-07-14,0.0,0,1,0,city,-15.0356,-41.9308
Coribe,2909109.0,2020-07-14,True,2,14.09046,2020-07-14,0.0,0,0,0,city,-13.8232,-44.4586
Coronel João Sá,2909208.0,2020-07-14,True,48,301.98176,2020-07-14,0.0,0,1,0,city,-10.2847,-37.9198
Correntina,2909307.0,2020-07-14,True,23,71.5686,2020-07-14,0.0,0,0,0,city,-13.3477,-44.6333
Cotegipe,2909406.0,2020-07-14,True,3,21.76752,2020-07-14,0.3333,1,1,0,city,-12.0228,-44.2566
Cravolândia,2909505.0,2020-07-14,True,7,130.86558,2020-07-14,0.0,0,1,0,city,-13.3531,-39.8031
Crisópolis,2909604.0,2020-07-14,True,34,161.11453,2020-07-14,0.0294,1,2,0,city,-11.5059,-38.1515
Cristópolis,2909703.0,2020-07-14,True,42,301.94105,2020-07-14,0.0,0,5,0,city,-12.2249,-44.4214
Cruz das Almas,2909802.0,2020-07-14,True,217,343.14268,2020-07-14,0.0184,4,4,0,city,-12.6675,-39.1008
Curaçá,2909901.0,2020-07-14,True,93,268.01153,2020-07-14,0.0,0,8,0,city,-8.984580000000001,-39.8997
Dário Meira,2910008.0,2020-07-14,True,113,1055.0887,2020-07-14,0.0177,2,12,0,city,-14.4229,-39.9031
Dias d'Ávila,2910057.0,2020-07-14,True,601,741.16095,2020-07-14,0.0283,17,6,0,city,-12.6187,-38.2926
Dom Basílio,2910107.0,2020-07-14,True,7,57.38175,2020-07-14,0.0,0,0,0,city,-13.7565,-41.7677
Dom Macedo Costa,2910206.0,2020-07-14,True,20,492.85362,2020-07-14,0.0,0,0,0,city,-12.9016,-39.1923
Elísio Medrado,2910305.0,2020-07-14,True,7,86.18567,2020-07-14,0.0,0,0,0,city,-12.9417,-39.5191
Encruzilhada,2910404.0,2020-07-14,True,69,405.73915,2020-07-14,0.0,0,1,0,city,-15.5302,-40.9124
Entre Rios,2910503.0,2020-07-14,True,116,277.64481,2020-07-14,0.0,0,4,0,city,-11.9392,-38.0871
Érico Cardoso,2900504.0,2020-07-14,True,0,,2020-07-14,0.0,0,0,0,city,-13.4215,-42.1352
Esplanada,2910602.0,2020-07-14,True,80,214.84008,2020-07-14,0.0,0,2,0,city,-11.7942,-37.9432
Euclides da Cunha,2910701.0,2020-07-14,True,51,84.17925,2020-07-14,0.0196,1,1,0,city,-10.5078,-39.0153
Eunápolis,2910727.0,2020-07-14,True,1046,922.5613,2020-07-14,0.0182,19,33,0,city,-16.3715,-39.5821
Fátima,2910750.0,2020-07-14,True,24,134.15316,2020-07-14,0.0,0,1,0,city,-10.616,-38.2239
Feira da Mata,2910776.0,2020-07-14,True,3,52.95675,2020-07-14,0.0,0,2,0,city,-14.2044,-44.2744
Feira de Santana,2910800.0,2020-07-14,True,5146,836.92216,2020-07-14,0.0128,66,44,1,city,-12.2664,-38.9663
Filadélfia,2910859.0,2020-07-14,True,153,934.23704,2020-07-14,0.0131,2,3,0,city,-10.7405,-40.1437
Firmino Alves,2910909.0,2020-07-14,True,4,71.21239,2020-07-14,0.0,0,0,0,city,-14.9823,-39.9269
Floresta Azul,2911006.0,2020-07-14,True,115,1081.94562,2020-07-14,0.0087,1,2,0,city,-14.8629,-39.6579
Formosa do Rio Preto,2911105.0,2020-07-14,True,21,82.0601,2020-07-14,0.0,0,0,0,city,-11.0328,-45.193000000000005
Gandu,2911204.0,2020-07-14,True,882,2721.97019,2020-07-14,0.0159,14,4,0,city,-13.7441,-39.4747
Gentio do Ouro,2911303.0,2020-07-14,True,108,961.45286,2020-07-14,0.0,0,1,0,city,-11.4342,-42.5077
Glória,2911402.0,2020-07-14,True,32,210.23586,2020-07-14,0.0938,3,1,0,city,-9.34382,-38.2544
Gongogi,2911501.0,2020-07-14,True,24,336.70034,2020-07-14,0.0833,2,1,0,city,-14.3195,-39.469
Governador Mangabeira,2911600.0,2020-07-14,True,54,260.59261,2020-07-14,0.0185,1,1,0,city,-12.5994,-39.0412
Guajeru,2911659.0,2020-07-14,True,3,43.24636,2020-07-14,0.0,0,0,0,city,-14.5467,-41.9381
Guanambi,2911709.0,2020-07-14,True,117,138.49268,2020-07-14,0.0,0,1,0,city,-14.2231,-42.7799
Guaratinga,2911808.0,2020-07-14,True,102,489.37293,2020-07-14,0.0196,2,5,0,city,-16.5833,-39.7847
Heliópolis,2911857.0,2020-07-14,True,14,107.43611,2020-07-14,0.0,0,0,0,city,-10.6825,-38.2907
Iaçu,2911907.0,2020-07-14,True,59,242.74841,2020-07-14,0.0678,4,3,0,city,-12.7666,-40.2056
Ibiassucê,2912004.0,2020-07-14,True,1,10.84128,2020-07-14,0.0,0,0,0,city,-14.2711,-42.257
Ibicaraí,2912103.0,2020-07-14,True,207,954.40085,2020-07-14,0.0145,3,0,0,city,-14.8579,-39.5914
