city,city_ibge_code,date,is_last,last_available_confirmed,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,lat,lon
Camaçari,2905701.0,2020-07-01,True,1449,0.0166,24,63,1,-12.6996,-38.3263
Campo Alegre de Lourdes,2905909.0,2020-07-01,True,37,0.027000000000000003,1,2,0,-9.522210000000001,-43.0126
Campo Formoso,2906006.0,2020-07-01,True,96,0.0,0,6,0,-10.5105,-40.32
Canarana,2906204.0,2020-07-01,True,24,0.0,0,2,0,-11.6858,-41.7677
Canavieiras,2906303.0,2020-07-01,True,34,0.0588,2,0,0,-15.6722,-38.9536
Candeal,2906402.0,2020-07-01,True,18,0.0,0,0,0,-11.8049,-39.1203
Candeias,2906501.0,2020-07-01,True,674,0.0267,18,16,1,-12.6716,-38.5472
Candiba,2906600.0,2020-07-01,True,12,0.0,0,0,0,-14.4097,-42.8667
Cansanção,2906808.0,2020-07-01,True,37,0.0541,2,1,0,-10.6647,-39.4944
Canudos,2906824.0,2020-07-01,True,15,0.0667,1,1,0,-9.900139999999999,-39.1471
Capela do Alto Alegre,2906857.0,2020-07-01,True,14,0.0,0,0,0,-11.6658,-39.8349
Capim Grosso,2906873.0,2020-07-01,True,107,0.027999999999999997,3,13,0,-11.3797,-40.0089
Caravelas,2906907.0,2020-07-01,True,48,0.0,0,9,0,-17.7268,-39.2597
Caraíbas,2906899.0,2020-07-01,True,6,0.0,0,3,0,-14.7177,-41.2603
Cardeal da Silva,2907004.0,2020-07-01,True,7,0.0,0,0,0,-11.9472,-37.9469
Carinhanha,2907103.0,2020-07-01,True,2,0.0,0,0,0,-14.2985,-43.7724
Casa Nova,2907202.0,2020-07-01,True,110,0.0273,3,19,0,-9.16408,-40.974
Castro Alves,2907301.0,2020-07-01,True,62,0.0161,1,2,0,-12.7579,-39.4248
Catolândia,2907400.0,2020-07-01,True,1,0.0,0,0,0,-12.31,-44.8648
Catu,2907509.0,2020-07-01,True,302,0.0066,2,12,0,-12.3513,-38.3791
Caém,2905107.0,2020-07-01,True,66,0.0,0,6,0,-11.0677,-40.431999999999995
Central,2907608.0,2020-07-01,True,0,0.0,0,0,0,-11.1376,-42.1116
Chorrochó,2907707.0,2020-07-01,True,1,0.0,0,0,0,-8.9695,-39.0979
Cipó,2907905.0,2020-07-01,True,19,0.0,0,0,0,-11.1032,-38.5179
Coaraci,2908002.0,2020-07-01,True,72,0.0417,3,4,0,-14.637,-39.5556
Cocos,2908101.0,2020-07-01,True,7,0.0,0,0,0,-14.1814,-44.5352
Conceição da Feira,2908200.0,2020-07-01,True,96,0.0104,1,1,0,-12.5078,-38.9978
Conceição do Almeida,2908309.0,2020-07-01,True,37,0.0,0,3,0,-12.7836,-39.1715
Conceição do Coité,2908408.0,2020-07-01,True,190,0.0,0,13,0,-11.56,-39.2808
