city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,place_type,state,new_confirmed,new_deaths,lat,lon
Barra do Rocha,2903102.0,2020-07-01,27,5714.0,True,False,6,105.00525,2020-07-01,0.0,0,92,city,BA,0,0,-14.2,-39.5991
Barreiras,2903201.0,2020-07-01,27,155439.0,True,False,362,232.88879,2020-07-01,0.0138,5,102,city,BA,14,0,-12.1439,-44.9968
Barro Preto,2903300.0,2020-07-01,27,5591.0,True,False,32,572.34842,2020-07-01,0.0,0,74,city,BA,5,0,-14.7948,-39.476
Barrocas,2903276.0,2020-07-01,27,15978.0,True,False,36,225.3098,2020-07-01,0.0,0,53,city,BA,0,0,-11.5272,-39.0776
Belmonte,2903409.0,2020-07-01,27,23328.0,True,False,85,364.369,2020-07-01,0.0118,1,91,city,BA,1,0,-15.8608,-38.8758
Belo Campo,2903508.0,2020-07-01,27,17211.0,True,False,0,,2020-07-01,0.0,0,18,city,BA,0,0,-15.0334,-41.2652
Biritinga,2903607.0,2020-07-01,27,15979.0,True,False,1,6.25821,2020-07-01,0.0,0,39,city,BA,0,0,-11.6072,-38.8051
Boa Nova,2903706.0,2020-07-01,27,12633.0,True,False,1,7.915780000000001,2020-07-01,0.0,0,27,city,BA,0,0,-14.3598,-40.2064
Boa Vista do Tupim,2903805.0,2020-07-01,27,18576.0,True,False,6,32.29974,2020-07-01,0.0,0,56,city,BA,0,0,-12.6498,-40.6064
Bom Jesus da Lapa,2903904.0,2020-07-01,27,69148.0,True,False,64,92.5551,2020-07-01,0.0,0,79,city,BA,4,0,-13.2506,-43.4108
Bom Jesus da Serra,2903953.0,2020-07-01,27,9880.0,True,False,13,131.57895,2020-07-01,0.0,0,38,city,BA,2,0,-14.3663,-40.5126
Boninal,2904001.0,2020-07-01,27,14368.0,True,False,4,27.839640000000003,2020-07-01,0.0,0,27,city,BA,0,0,-12.7069,-41.8286
Bonito,2904050.0,2020-07-01,27,16764.0,True,False,0,,2020-07-01,0.0,0,28,city,BA,0,0,-11.9668,-41.2647
