2020-07-16 19:31:13,825 - (main):		Starting iteration
2020-07-16 19:31:39,779 - (request_from_api):		Requesting page 23
2020-07-16 19:31:40,068 - (request_from_api):		<Response [429]>
2020-07-16 19:31:40,069 - (request_from_api):		Requesting page 23
2020-07-16 19:31:40,699 - (request_from_api):		<Response [429]>
2020-07-16 19:31:40,700 - (request_from_api):		Requesting page 23
2020-07-16 19:31:41,006 - (request_from_api):		<Response [429]>
2020-07-16 19:31:41,007 - (request_from_api):		Requesting page 23
2020-07-16 19:31:41,724 - (request_from_api):		<Response [429]>
2020-07-16 19:31:41,724 - (request_from_api):		Requesting page 23
2020-07-16 19:31:42,030 - (request_from_api):		<Response [429]>
2020-07-16 19:31:42,031 - (request_from_api):		Requesting page 23
2020-07-16 19:31:42,338 - (request_from_api):		<Response [429]>
2020-07-16 19:31:42,339 - (request_from_api):		Requesting page 23
2020-07-16 19:31:42,645 - (request_from_api):		<Response [429]>
2020-07-16 19:31:42,646 - (request_from_api):		Requesting page 23
2020-07-16 19:31:42,952 - (request_from_api):		<Response [429]>
2020-07-16 19:31:42,953 - (request_from_api):		Requesting page 23
2020-07-16 19:31:43,260 - (request_from_api):		<Response [429]>
2020-07-16 19:31:43,261 - (request_from_api):		Requesting page 23
2020-07-16 19:31:45,112 - (request_from_api):		<Response [200]>
2020-07-16 19:31:45,168 - (request_from_api):		Requesting page 24
2020-07-16 19:31:45,821 - (request_from_api):		<Response [429]>
2020-07-16 19:31:45,821 - (request_from_api):		Requesting page 24
2020-07-16 19:31:46,244 - (request_from_api):		<Response [429]>
2020-07-16 19:31:46,244 - (request_from_api):		Requesting page 24
2020-07-16 19:31:46,492 - (request_from_api):		<Response [429]>
2020-07-16 19:31:46,493 - (request_from_api):		Requesting page 24
2020-07-16 19:31:46,844 - (request_from_api):		<Response [429]>
2020-07-16 19:31:46,845 - (request_from_api):		Requesting page 24
2020-07-16 19:31:47,149 - (request_from_api):		<Response [429]>
2020-07-16 19:31:47,149 - (request_from_api):		Requesting page 24
2020-07-16 19:31:47,871 - (request_from_api):		<Response [429]>
2020-07-16 19:31:47,871 - (request_from_api):		Requesting page 24
2020-07-16 19:31:48,482 - (request_from_api):		<Response [429]>
2020-07-16 19:31:48,483 - (request_from_api):		Requesting page 24
2020-07-16 19:31:49,199 - (request_from_api):		<Response [429]>
2020-07-16 19:31:49,200 - (request_from_api):		Requesting page 24
2020-07-16 19:31:49,506 - (request_from_api):		<Response [429]>
2020-07-16 19:31:49,507 - (request_from_api):		Requesting page 24
2020-07-16 19:31:49,813 - (request_from_api):		<Response [429]>
2020-07-16 19:31:49,814 - (request_from_api):		Requesting page 24
2020-07-16 19:31:50,121 - (request_from_api):		<Response [429]>
2020-07-16 19:31:50,123 - (request_from_api):		Requesting page 24
2020-07-16 19:31:50,427 - (request_from_api):		<Response [429]>
2020-07-16 19:31:50,429 - (request_from_api):		Requesting page 24
2020-07-16 19:31:50,734 - (request_from_api):		<Response [429]>
2020-07-16 19:31:50,735 - (request_from_api):		Requesting page 24
2020-07-16 19:31:50,959 - (request_from_api):		<Response [429]>
2020-07-16 19:31:50,960 - (request_from_api):		Requesting page 24
2020-07-16 19:31:51,554 - (request_from_api):		<Response [429]>
2020-07-16 19:31:51,555 - (request_from_api):		Requesting page 24
2020-07-16 19:31:51,862 - (request_from_api):		<Response [429]>
2020-07-16 19:31:51,863 - (request_from_api):		Requesting page 24
2020-07-16 19:31:52,123 - (request_from_api):		<Response [429]>
2020-07-16 19:31:52,123 - (request_from_api):		Requesting page 24
2020-07-16 19:31:52,349 - (request_from_api):		<Response [429]>
2020-07-16 19:31:52,350 - (request_from_api):		Requesting page 24
2020-07-16 19:31:52,680 - (request_from_api):		<Response [429]>
2020-07-16 19:31:52,681 - (request_from_api):		Requesting page 24
2020-07-16 19:31:53,400 - (request_from_api):		<Response [200]>
2020-07-16 19:31:53,454 - (request_from_api):		Requesting page 25
2020-07-16 19:31:54,012 - (request_from_api):		<Response [429]>
2020-07-16 19:31:54,012 - (request_from_api):		Requesting page 25
2020-07-16 19:31:54,320 - (request_from_api):		<Response [429]>
2020-07-16 19:31:54,321 - (request_from_api):		Requesting page 25
2020-07-16 19:31:54,626 - (request_from_api):		<Response [429]>
2020-07-16 19:31:54,627 - (request_from_api):		Requesting page 25
2020-07-16 19:31:54,933 - (request_from_api):		<Response [429]>
2020-07-16 19:31:54,934 - (request_from_api):		Requesting page 25
2020-07-16 19:31:55,240 - (request_from_api):		<Response [429]>
2020-07-16 19:31:55,242 - (request_from_api):		Requesting page 25
2020-07-16 19:31:55,548 - (request_from_api):		<Response [429]>
2020-07-16 19:31:55,548 - (request_from_api):		Requesting page 25
2020-07-16 19:31:55,855 - (request_from_api):		<Response [429]>
2020-07-16 19:31:55,856 - (request_from_api):		Requesting page 25
2020-07-16 19:31:56,162 - (request_from_api):		<Response [429]>
2020-07-16 19:31:56,163 - (request_from_api):		Requesting page 25
2020-07-16 19:31:56,422 - (request_from_api):		<Response [429]>
2020-07-16 19:31:56,422 - (request_from_api):		Requesting page 25
2020-07-16 19:31:56,662 - (request_from_api):		<Response [429]>
2020-07-16 19:31:56,663 - (request_from_api):		Requesting page 25
2020-07-16 19:31:56,950 - (request_from_api):		<Response [429]>
2020-07-16 19:31:56,950 - (request_from_api):		Requesting page 25
2020-07-16 19:31:57,289 - (request_from_api):		<Response [429]>
2020-07-16 19:31:57,290 - (request_from_api):		Requesting page 25
2020-07-16 19:31:57,595 - (request_from_api):		<Response [429]>
2020-07-16 19:31:57,597 - (request_from_api):		Requesting page 25
2020-07-16 19:31:57,902 - (request_from_api):		<Response [429]>
2020-07-16 19:31:57,903 - (request_from_api):		Requesting page 25
2020-07-16 19:31:58,210 - (request_from_api):		<Response [429]>
2020-07-16 19:31:58,211 - (request_from_api):		Requesting page 25
2020-07-16 19:31:58,471 - (request_from_api):		<Response [429]>
2020-07-16 19:31:58,472 - (request_from_api):		Requesting page 25
2020-07-16 19:31:58,824 - (request_from_api):		<Response [429]>
2020-07-16 19:31:58,825 - (request_from_api):		Requesting page 25
2020-07-16 19:31:59,109 - (request_from_api):		<Response [429]>
2020-07-16 19:31:59,109 - (request_from_api):		Requesting page 25
2020-07-16 19:31:59,435 - (request_from_api):		<Response [429]>
2020-07-16 19:31:59,436 - (request_from_api):		Requesting page 25
2020-07-16 19:31:59,751 - (request_from_api):		<Response [429]>
2020-07-16 19:31:59,752 - (request_from_api):		Requesting page 25
2020-07-16 19:32:00,053 - (request_from_api):		<Response [429]>
2020-07-16 19:32:00,054 - (request_from_api):		Requesting page 25
2020-07-16 19:32:00,360 - (request_from_api):		<Response [429]>
2020-07-16 19:32:00,361 - (request_from_api):		Requesting page 25
2020-07-16 19:32:00,667 - (request_from_api):		<Response [429]>
2020-07-16 19:32:00,668 - (request_from_api):		Requesting page 25
2020-07-16 19:32:00,974 - (request_from_api):		<Response [429]>
2020-07-16 19:32:00,975 - (request_from_api):		Requesting page 25
2020-07-16 19:32:01,286 - (request_from_api):		<Response [429]>
2020-07-16 19:32:01,287 - (request_from_api):		Requesting page 25
2020-07-16 19:32:01,589 - (request_from_api):		<Response [429]>
2020-07-16 19:32:01,590 - (request_from_api):		Requesting page 25
2020-07-16 19:32:01,896 - (request_from_api):		<Response [429]>
2020-07-16 19:32:01,898 - (request_from_api):		Requesting page 25
2020-07-16 19:32:02,204 - (request_from_api):		<Response [429]>
2020-07-16 19:32:02,204 - (request_from_api):		Requesting page 25
2020-07-16 19:32:02,508 - (request_from_api):		<Response [429]>
2020-07-16 19:32:02,508 - (request_from_api):		Requesting page 25
2020-07-16 19:32:02,819 - (request_from_api):		<Response [429]>
2020-07-16 19:32:02,820 - (request_from_api):		Requesting page 25
2020-07-16 19:32:03,047 - (request_from_api):		<Response [429]>
2020-07-16 19:32:03,048 - (request_from_api):		Requesting page 25
2020-07-16 19:32:03,330 - (request_from_api):		<Response [429]>
2020-07-16 19:32:03,331 - (request_from_api):		Requesting page 25
2020-07-16 19:32:03,637 - (request_from_api):		<Response [429]>
2020-07-16 19:32:03,638 - (request_from_api):		Requesting page 25
2020-07-16 19:32:03,944 - (request_from_api):		<Response [429]>
2020-07-16 19:32:03,945 - (request_from_api):		Requesting page 25
2020-07-16 19:32:04,252 - (request_from_api):		<Response [429]>
2020-07-16 19:32:04,253 - (request_from_api):		Requesting page 25
2020-07-16 19:32:04,559 - (request_from_api):		<Response [429]>
2020-07-16 19:32:04,560 - (request_from_api):		Requesting page 25
2020-07-16 19:32:04,865 - (request_from_api):		<Response [429]>
2020-07-16 19:32:04,866 - (request_from_api):		Requesting page 25
2020-07-16 19:32:05,173 - (request_from_api):		<Response [429]>
2020-07-16 19:32:05,174 - (request_from_api):		Requesting page 25
2020-07-16 19:32:05,422 - (request_from_api):		<Response [429]>
2020-07-16 19:32:05,423 - (request_from_api):		Requesting page 25
2020-07-16 19:32:05,685 - (request_from_api):		<Response [429]>
2020-07-16 19:32:05,686 - (request_from_api):		Requesting page 25
2020-07-16 19:32:05,992 - (request_from_api):		<Response [429]>
2020-07-16 19:32:05,993 - (request_from_api):		Requesting page 25
2020-07-16 19:32:06,231 - (request_from_api):		<Response [429]>
2020-07-16 19:32:06,232 - (request_from_api):		Requesting page 25
2020-07-16 19:32:06,505 - (request_from_api):		<Response [429]>
2020-07-16 19:32:06,506 - (request_from_api):		Requesting page 25
2020-07-16 19:32:06,744 - (request_from_api):		<Response [429]>
2020-07-16 19:32:06,745 - (request_from_api):		Requesting page 25
2020-07-16 19:32:06,983 - (request_from_api):		<Response [429]>
2020-07-16 19:32:06,984 - (request_from_api):		Requesting page 25
2020-07-16 19:32:07,205 - (request_from_api):		<Response [429]>
2020-07-16 19:32:07,206 - (request_from_api):		Requesting page 25
2020-07-16 19:32:07,529 - (request_from_api):		<Response [429]>
